epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.94611,2.59818,0.11594,0.49275,2.46354,9.996e-05,9.996e-05,9.996e-05
2,9.73919,2.41443,0.30435,0.78261,2.18164,0.000203763,0.000203763,0.000203763
3,12.7141,2.07302,0.54348,0.89855,1.72819,0.00030547,0.00030547,0.00030547
4,16.1514,1.7633,0.64493,0.92029,1.45931,0.000405081,0.000405081,0.000405081
5,19.6594,1.33943,0.69565,0.93478,1.07747,0.000502597,0.000502597,0.000502597
6,23.0762,1.07243,0.72464,0.93478,0.80811,0.000558894,0.000558894,0.000558894
7,26.4914,0.87342,0.73188,0.97826,0.74032,0.000553073,0.000553073,0.000553073
8,30.7987,0.72939,0.74638,0.97826,0.96273,0.000547252,0.000547252,0.000547252
9,35.539,0.60422,0.75362,0.98551,0.71631,0.00054143,0.00054143,0.00054143
10,39.6655,0.55864,0.73913,0.99275,0.875,0.000535609,0.000535609,0.000535609
11,43.9829,0.51332,0.73913,0.99275,0.764,0.000529788,0.000529788,0.000529788
12,48.0128,0.48094,0.78986,0.99275,0.62533,0.000523967,0.000523967,0.000523967
13,52.6194,0.41476,0.74638,0.99275,0.70459,0.000518146,0.000518146,0.000518146
14,56.2919,0.36847,0.73188,0.98551,1.05062,0.000512324,0.000512324,0.000512324
15,59.6131,0.40365,0.77536,0.97826,0.66341,0.000506503,0.000506503,0.000506503
16,62.7257,0.34823,0.78986,0.97826,0.63753,0.000500682,0.000500682,0.000500682
17,65.6468,0.31361,0.81159,0.97826,0.77197,0.000494861,0.000494861,0.000494861
18,68.8304,0.29807,0.77536,0.97826,0.63249,0.00048904,0.00048904,0.00048904
19,72.5663,0.30868,0.76812,0.98551,0.80387,0.000483218,0.000483218,0.000483218
20,76.9478,0.36309,0.78261,0.98551,0.77865,0.000477397,0.000477397,0.000477397
21,80.2717,0.27302,0.78261,0.98551,0.5883,0.000471576,0.000471576,0.000471576
22,83.2554,0.30465,0.78986,0.98551,0.83219,0.000465755,0.000465755,0.000465755
23,86.0479,0.2658,0.80435,0.98551,0.63379,0.000459934,0.000459934,0.000459934
