epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.34169,2.61454,0.11628,0.48837,2.51758,6.468e-05,6.468e-05,6.468e-05
2,10.308,2.43007,0.34884,0.72093,2.22559,0.000128546,0.000128546,0.000128546
3,12.2505,2.17538,0.44186,0.82558,1.83008,0.000185426,0.000185426,0.000185426
4,14.1986,1.91768,0.60465,0.86047,1.41748,0.000235321,0.000235321,0.000235321
5,16.1729,1.62718,0.72093,0.88372,1.2666,0.00027823,0.00027823,0.00027823
6,18.2134,1.38946,0.74419,0.90698,0.84814,0.000314154,0.000314154,0.000314154
7,20.2284,1.11857,0.81395,0.9186,0.88086,0.000343092,0.000343092,0.000343092
8,22.3056,0.97154,0.82558,0.95349,0.82629,0.000365045,0.000365045,0.000365045
9,24.2078,0.75759,0.81395,0.95349,0.58032,0.000355152,0.000355152,0.000355152
10,26.2678,0.65587,0.82558,0.97674,0.49524,0.000326046,0.000326046,0.000326046
11,34.8471,0.61632,0.86047,0.97674,0.63281,0.00029694,0.00029694,0.00029694
12,37.3332,0.49819,0.88372,0.96512,0.4541,0.000267834,0.000267834,0.000267834
13,39.5746,0.41672,0.88372,0.96512,0.39478,0.000238728,0.000238728,0.000238728
14,41.9079,0.42807,0.89535,0.96512,0.37665,0.000209622,0.000209622,0.000209622
15,44.3511,0.40202,0.89535,0.98837,0.46252,0.000180516,0.000180516,0.000180516
16,47.9485,0.38105,0.9186,0.97674,0.37854,0.00015141,0.00015141,0.00015141
17,51.189,0.35892,0.9186,0.97674,0.51624,0.000122304,0.000122304,0.000122304
18,54.1724,0.33594,0.90698,0.96512,0.28195,9.3198e-05,9.3198e-05,9.3198e-05
19,57.4093,0.32121,0.90698,0.96512,0.36426,6.4092e-05,6.4092e-05,6.4092e-05
20,60.4413,0.32884,0.90698,0.96512,0.38525,3.4986e-05,3.4986e-05,3.4986e-05
