epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.75983,2.59938,0.16379,0.43103,2.50098,8.232e-05,8.232e-05,8.232e-05
2,5.29284,2.39382,0.37069,0.75862,2.10547,0.000168832,0.000168832,0.000168832
3,7.76601,2.09339,0.62931,0.87931,1.59375,0.000253597,0.000253597,0.000253597
4,10.3073,1.74721,0.71552,0.91379,1.14258,0.000336616,0.000336616,0.000336616
5,12.873,1.37876,0.7931,0.94828,0.82544,0.000417889,0.000417889,0.000417889
6,15.3635,1.04872,0.81034,0.97414,0.63745,0.000497416,0.000497416,0.000497416
7,17.855,0.83537,0.81897,0.96552,0.59595,0.000553073,0.000553073,0.000553073
8,20.2928,0.65527,0.88793,0.97414,0.43909,0.000547252,0.000547252,0.000547252
9,22.8529,0.52293,0.88793,0.98276,0.38263,0.00054143,0.00054143,0.00054143
10,25.2822,0.41965,0.91379,0.98276,0.3584,0.000535609,0.000535609,0.000535609
11,27.8497,0.3638,0.90517,0.98276,0.37952,0.000529788,0.000529788,0.000529788
12,30.52,0.39957,0.93103,0.98276,0.36127,0.000523967,0.000523967,0.000523967
13,32.9516,0.3311,0.93966,0.98276,0.35504,0.000518146,0.000518146,0.000518146
14,35.6433,0.26333,0.93103,0.98276,0.32184,0.000512324,0.000512324,0.000512324
15,37.9635,0.28015,0.92241,0.98276,0.31677,0.000506503,0.000506503,0.000506503
16,40.6214,0.23091,0.89655,0.98276,0.36169,0.000500682,0.000500682,0.000500682
17,42.9731,0.26433,0.91379,0.98276,0.34119,0.000494861,0.000494861,0.000494861
18,45.5267,0.26986,0.89655,0.98276,0.32361,0.00048904,0.00048904,0.00048904
19,48.0261,0.24249,0.93103,0.98276,0.31903,0.000483218,0.000483218,0.000483218
20,50.5454,0.20267,0.92241,0.98276,0.33826,0.000477397,0.000477397,0.000477397
21,53.1115,0.20925,0.88793,0.98276,0.3869,0.000471576,0.000471576,0.000471576
22,55.5316,0.19369,0.89655,0.98276,0.34863,0.000465755,0.000465755,0.000465755
23,57.9844,0.13967,0.91379,0.98276,0.33197,0.000459934,0.000459934,0.000459934
24,60.5844,0.18297,0.91379,0.98276,0.33691,0.000454112,0.000454112,0.000454112
25,63.1726,0.1447,0.92241,0.98276,0.34082,0.000448291,0.000448291,0.000448291
26,65.6205,0.18001,0.90517,0.98276,0.30463,0.00044247,0.00044247,0.00044247
27,68.2276,0.15358,0.92241,0.98276,0.3205,0.000436649,0.000436649,0.000436649
28,70.5274,0.14651,0.93103,0.98276,0.36224,0.000430828,0.000430828,0.000430828
29,73.0218,0.17205,0.93103,0.98276,0.32935,0.000425006,0.000425006,0.000425006
30,75.6962,0.19583,0.92241,0.98276,0.37518,0.000419185,0.000419185,0.000419185
31,78.1052,0.15013,0.93966,0.98276,0.37161,0.000413364,0.000413364,0.000413364
32,80.6021,0.12804,0.93103,0.98276,0.31586,0.000407543,0.000407543,0.000407543
33,83.0261,0.14106,0.92241,0.98276,0.31903,0.000401722,0.000401722,0.000401722
34,85.569,0.13706,0.91379,0.99138,0.33838,0.0003959,0.0003959,0.0003959
