epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.41144,2.53681,0.17526,0.53608,2.45283,7.644e-05,7.644e-05,7.644e-05
2,17.3331,2.31965,0.40206,0.76289,1.99336,0.000150901,0.000150901,0.000150901
3,25.3172,2.00509,0.51546,0.80412,1.5707,0.000217213,0.000217213,0.000217213
4,33.9994,1.60786,0.62887,0.83505,1.3425,0.000275375,0.000275375,0.000275375
5,42.1408,1.43544,0.70103,0.87629,1.17994,0.000325387,0.000325387,0.000325387
6,50.6855,1.23008,0.7732,0.91753,0.90354,0.00036725,0.00036725,0.00036725
7,58.9935,1.00954,0.79381,0.92784,0.76959,0.000400963,0.000400963,0.000400963
8,67.1129,0.78564,0.81443,0.93814,0.64599,0.000384258,0.000384258,0.000384258
9,75.424,0.69687,0.83505,0.96907,0.56791,0.000355152,0.000355152,0.000355152
10,83.418,0.63237,0.85567,0.95876,0.50034,0.000326046,0.000326046,0.000326046
11,91.8352,0.63252,0.87629,0.95876,0.5075,0.00029694,0.00029694,0.00029694
12,99.9664,0.52425,0.8866,0.96907,0.51581,0.000267834,0.000267834,0.000267834
13,108.133,0.45451,0.8866,0.96907,0.4743,0.000238728,0.000238728,0.000238728
14,116.278,0.34845,0.8866,0.96907,0.50002,0.000209622,0.000209622,0.000209622
15,124.763,0.39318,0.90722,0.96907,0.45155,0.000180516,0.000180516,0.000180516
16,132.955,0.46079,0.91753,0.96907,0.38992,0.00015141,0.00015141,0.00015141
17,141.238,0.37562,0.91753,0.96907,0.46305,0.000122304,0.000122304,0.000122304
18,149.626,0.3093,0.90722,0.96907,0.37023,9.3198e-05,9.3198e-05,9.3198e-05
19,157.846,0.36922,0.92784,0.96907,0.36059,6.4092e-05,6.4092e-05,6.4092e-05
20,166.019,0.33035,0.91753,0.96907,0.32921,3.4986e-05,3.4986e-05,3.4986e-05
