epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.32614,2.59938,0.16379,0.43103,2.50098,8.232e-05,8.232e-05,8.232e-05
2,6.87998,2.39382,0.37069,0.75862,2.10547,0.000168832,0.000168832,0.000168832
3,9.29124,2.09339,0.62931,0.87931,1.59375,0.000253597,0.000253597,0.000253597
4,12.0746,1.74721,0.71552,0.91379,1.14258,0.000336616,0.000336616,0.000336616
5,14.7812,1.37876,0.7931,0.94828,0.82544,0.000417889,0.000417889,0.000417889
6,17.4047,1.04872,0.81034,0.97414,0.63745,0.000497416,0.000497416,0.000497416
7,20.4513,0.83537,0.81897,0.96552,0.59595,0.000553073,0.000553073,0.000553073
8,23.0231,0.65527,0.88793,0.97414,0.43909,0.000547252,0.000547252,0.000547252
9,25.879,0.52293,0.88793,0.98276,0.38263,0.00054143,0.00054143,0.00054143
10,28.4959,0.41965,0.91379,0.98276,0.3584,0.000535609,0.000535609,0.000535609
11,31.0348,0.3638,0.90517,0.98276,0.37952,0.000529788,0.000529788,0.000529788
12,33.9746,0.39957,0.93103,0.98276,0.36127,0.000523967,0.000523967,0.000523967
13,36.8041,0.3311,0.93966,0.98276,0.35504,0.000518146,0.000518146,0.000518146
14,40.0557,0.26333,0.93103,0.98276,0.32184,0.000512324,0.000512324,0.000512324
15,42.5758,0.28015,0.92241,0.98276,0.31677,0.000506503,0.000506503,0.000506503
16,45.9649,0.23091,0.89655,0.98276,0.36169,0.000500682,0.000500682,0.000500682
17,48.7269,0.26433,0.91379,0.98276,0.34119,0.000494861,0.000494861,0.000494861
18,51.8267,0.26986,0.89655,0.98276,0.32361,0.00048904,0.00048904,0.00048904
19,54.6534,0.24249,0.93103,0.98276,0.31903,0.000483218,0.000483218,0.000483218
20,57.2832,0.20267,0.92241,0.98276,0.33826,0.000477397,0.000477397,0.000477397
21,60.1114,0.20925,0.88793,0.98276,0.3869,0.000471576,0.000471576,0.000471576
22,62.7094,0.19369,0.89655,0.98276,0.34863,0.000465755,0.000465755,0.000465755
23,65.2181,0.13967,0.91379,0.98276,0.33197,0.000459934,0.000459934,0.000459934
24,68.2988,0.18297,0.91379,0.98276,0.33691,0.000454112,0.000454112,0.000454112
25,70.9915,0.1447,0.92241,0.98276,0.34082,0.000448291,0.000448291,0.000448291
26,74.1925,0.18001,0.90517,0.98276,0.30463,0.00044247,0.00044247,0.00044247
27,77.223,0.15358,0.92241,0.98276,0.3205,0.000436649,0.000436649,0.000436649
28,79.8174,0.14651,0.93103,0.98276,0.36224,0.000430828,0.000430828,0.000430828
29,82.4048,0.17205,0.93103,0.98276,0.32935,0.000425006,0.000425006,0.000425006
30,85.4917,0.19583,0.92241,0.98276,0.37518,0.000419185,0.000419185,0.000419185
31,88.3919,0.15013,0.93966,0.98276,0.37161,0.000413364,0.000413364,0.000413364
32,90.9671,0.12804,0.93103,0.98276,0.31586,0.000407543,0.000407543,0.000407543
33,93.6276,0.14106,0.92241,0.98276,0.31903,0.000401722,0.000401722,0.000401722
34,96.7632,0.13706,0.91379,0.99138,0.33838,0.0003959,0.0003959,0.0003959
35,99.4158,0.14338,0.90517,0.98276,0.37842,0.000390079,0.000390079,0.000390079
36,102.815,0.10539,0.92241,0.98276,0.37225,0.000384258,0.000384258,0.000384258
37,105.771,0.10906,0.91379,0.98276,0.35223,0.000378437,0.000378437,0.000378437
38,108.941,0.11615,0.93966,0.98276,0.30661,0.000372616,0.000372616,0.000372616
39,112.015,0.10914,0.93966,0.98276,0.33691,0.000366794,0.000366794,0.000366794
40,114.905,0.10328,0.93103,0.98276,0.3446,0.000360973,0.000360973,0.000360973
41,117.672,0.15388,0.91379,0.98276,0.33527,0.000355152,0.000355152,0.000355152
42,120.65,0.10501,0.91379,0.98276,0.35333,0.000349331,0.000349331,0.000349331
43,123.262,0.11197,0.91379,0.98276,0.34375,0.00034351,0.00034351,0.00034351
44,126.143,0.1301,0.92241,0.98276,0.33902,0.000337688,0.000337688,0.000337688
45,128.931,0.09348,0.93103,0.98276,0.31567,0.000331867,0.000331867,0.000331867
46,132.067,0.1112,0.92241,0.98276,0.35071,0.000326046,0.000326046,0.000326046
47,134.898,0.10589,0.91379,0.98276,0.34613,0.000320225,0.000320225,0.000320225
48,138.167,0.08224,0.92241,0.98276,0.35889,0.000314404,0.000314404,0.000314404
49,141.034,0.09738,0.92241,0.98276,0.34918,0.000308582,0.000308582,0.000308582
50,143.853,0.09986,0.93103,0.98276,0.35742,0.000302761,0.000302761,0.000302761
51,146.812,0.09035,0.92241,0.98276,0.35388,0.00029694,0.00029694,0.00029694
