epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.98475,2.61384,0.16667,0.5,2.45638,9.996e-05,9.996e-05,9.996e-05
2,11.8399,2.41087,0.33333,0.77536,2.08301,0.000203763,0.000203763,0.000203763
3,14.856,2.04429,0.55072,0.86232,1.82064,0.00030547,0.00030547,0.00030547
4,18.1062,1.7141,0.63043,0.86232,1.44759,0.000405081,0.000405081,0.000405081
5,21.568,1.3116,0.72464,0.92754,0.89974,0.000502597,0.000502597,0.000502597
6,24.8657,1.05118,0.76087,0.94203,0.82324,0.000558894,0.000558894,0.000558894
7,28.0941,0.81136,0.73188,0.96377,0.64705,0.000553073,0.000553073,0.000553073
8,32.7211,0.72263,0.76087,0.93478,0.58289,0.000547252,0.000547252,0.000547252
9,37.3596,0.63373,0.80435,0.95652,0.85465,0.00054143,0.00054143,0.00054143
10,41.6606,0.54776,0.78986,0.94928,0.68473,0.000535609,0.000535609,0.000535609
11,46.2934,0.50904,0.84058,0.97101,0.75423,0.000529788,0.000529788,0.000529788
12,50.5896,0.44776,0.78986,0.96377,0.64323,0.000523967,0.000523967,0.000523967
13,54.8807,0.43234,0.81159,0.97826,0.60303,0.000518146,0.000518146,0.000518146
14,59.0654,0.43,0.84058,0.97826,0.63062,0.000512324,0.000512324,0.000512324
15,63.817,0.38313,0.85507,0.98551,0.6818,0.000506503,0.000506503,0.000506503
16,68.1001,0.33099,0.81884,0.98551,0.52059,0.000500682,0.000500682,0.000500682
17,72.1676,0.30678,0.81884,0.98551,0.59326,0.000494861,0.000494861,0.000494861
18,75.8679,0.33587,0.82609,0.98551,0.51969,0.00048904,0.00048904,0.00048904
19,79.5416,0.29441,0.81884,0.98551,0.53963,0.000483218,0.000483218,0.000483218
20,83.1456,0.31224,0.82609,0.98551,0.8606,0.000477397,0.000477397,0.000477397
21,87.3424,0.30659,0.81884,0.98551,0.6429,0.000471576,0.000471576,0.000471576
22,90.6474,0.29916,0.82609,0.98551,0.66553,0.000465755,0.000465755,0.000465755
23,93.5377,0.27485,0.83333,0.98551,0.61711,0.000459934,0.000459934,0.000459934
24,96.9044,0.25599,0.83333,0.98551,0.69531,0.000454112,0.000454112,0.000454112
25,101.447,0.2255,0.84058,0.97826,0.76383,0.000448291,0.000448291,0.000448291
26,105.951,0.243,0.84058,0.97826,0.56771,0.00044247,0.00044247,0.00044247
27,110.055,0.22916,0.83333,0.99275,0.49382,0.000436649,0.000436649,0.000436649
28,114.735,0.24296,0.83333,1,0.80355,0.000430828,0.000430828,0.000430828
29,119.032,0.21122,0.83333,0.99275,0.50391,0.000425006,0.000425006,0.000425006
30,123.349,0.22503,0.82609,0.99275,0.42549,0.000419185,0.000419185,0.000419185
31,127.44,0.20153,0.83333,0.99275,0.55135,0.000413364,0.000413364,0.000413364
32,132.288,0.22017,0.85507,1,0.55436,0.000407543,0.000407543,0.000407543
33,136.52,0.21598,0.83333,1,0.5874,0.000401722,0.000401722,0.000401722
34,140.612,0.21629,0.84783,0.99275,0.81071,0.0003959,0.0003959,0.0003959
35,145.234,0.17403,0.84783,0.99275,0.54586,0.000390079,0.000390079,0.000390079
36,149.296,0.16926,0.84783,0.99275,1.01579,0.000384258,0.000384258,0.000384258
37,153.615,0.18291,0.86957,0.99275,0.9384,0.000378437,0.000378437,0.000378437
38,158.364,0.17043,0.86957,0.99275,0.54785,0.000372616,0.000372616,0.000372616
39,162.536,0.19145,0.86232,0.98551,0.6534,0.000366794,0.000366794,0.000366794
40,166.831,0.16949,0.85507,0.98551,0.44762,0.000360973,0.000360973,0.000360973
41,170.944,0.1544,0.86232,0.98551,1.03247,0.000355152,0.000355152,0.000355152
42,175.545,0.19432,0.86232,0.98551,0.67537,0.000349331,0.000349331,0.000349331
43,179.424,0.13016,0.86957,0.98551,0.46552,0.00034351,0.00034351,0.00034351
44,183.656,0.17479,0.84783,0.98551,0.45107,0.000337688,0.000337688,0.000337688
45,187.742,0.15147,0.84783,0.98551,0.55322,0.000331867,0.000331867,0.000331867
46,191.933,0.12057,0.85507,0.98551,0.55583,0.000326046,0.000326046,0.000326046
47,196.104,0.13951,0.82609,0.98551,0.90259,0.000320225,0.000320225,0.000320225
48,200.115,0.13602,0.82609,0.98551,0.52201,0.000314404,0.000314404,0.000314404
49,204.811,0.13112,0.84783,0.97826,0.52665,0.000308582,0.000308582,0.000308582
50,208.965,0.12637,0.84783,0.98551,0.50932,0.000302761,0.000302761,0.000302761
51,213.265,0.1209,0.84058,0.98551,0.89803,0.00029694,0.00029694,0.00029694
52,217.552,0.12357,0.84058,0.98551,0.61849,0.000291119,0.000291119,0.000291119
53,222.405,0.12834,0.86232,0.98551,0.84798,0.000285298,0.000285298,0.000285298
54,226.488,0.14527,0.85507,0.98551,0.44418,0.000279476,0.000279476,0.000279476
55,230.625,0.11317,0.84058,0.98551,0.65153,0.000273655,0.000273655,0.000273655
56,235.071,0.11758,0.84058,0.98551,0.9165,0.000267834,0.000267834,0.000267834
57,239.307,0.11561,0.83333,0.98551,0.55233,0.000262013,0.000262013,0.000262013
58,243.584,0.09448,0.83333,0.98551,0.69401,0.000256192,0.000256192,0.000256192
59,248.345,0.11844,0.84783,0.98551,0.68115,0.00025037,0.00025037,0.00025037
60,252.89,0.10974,0.84058,0.98551,0.67928,0.000244549,0.000244549,0.000244549
61,256.811,0.11675,0.84058,0.98551,0.48813,0.000238728,0.000238728,0.000238728
62,261.036,0.15877,0.84058,0.98551,0.57406,0.000232907,0.000232907,0.000232907
63,265.396,0.10223,0.84058,0.98551,0.53394,0.000227086,0.000227086,0.000227086
64,269.937,0.11162,0.84783,0.98551,1.01896,0.000221264,0.000221264,0.000221264
