epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.63589,2.58423,0.12791,0.5,2.50675,6.468e-05,6.468e-05,6.468e-05
2,15.903,2.42949,0.36047,0.77907,2.22184,0.000128546,0.000128546,0.000128546
3,25.9097,2.18989,0.44186,0.82558,1.85756,0.000185426,0.000185426,0.000185426
4,35.5755,1.92024,0.65116,0.83721,1.42195,0.000235321,0.000235321,0.000235321
5,45.1059,1.61242,0.7093,0.86047,1.26762,0.00027823,0.00027823,0.00027823
6,54.4753,1.37683,0.75581,0.90698,0.85932,0.000314154,0.000314154,0.000314154
7,64.6049,1.12282,0.7907,0.90698,0.90542,0.000343092,0.000343092,0.000343092
8,73.8019,0.96264,0.82558,0.9186,0.85751,0.000365045,0.000365045,0.000365045
9,83.6564,0.81884,0.84884,0.9186,0.62043,0.000355152,0.000355152,0.000355152
10,93.3257,0.66461,0.84884,0.95349,0.52228,0.000326046,0.000326046,0.000326046
11,102.638,0.59475,0.86047,0.96512,0.65834,0.00029694,0.00029694,0.00029694
12,112.443,0.5196,0.87209,0.97674,0.42127,0.000267834,0.000267834,0.000267834
13,122.367,0.458,0.89535,0.97674,0.36971,0.000238728,0.000238728,0.000238728
14,131.902,0.44444,0.89535,0.97674,0.35778,0.000209622,0.000209622,0.000209622
15,141.31,0.36455,0.90698,0.97674,0.45752,0.000180516,0.000180516,0.000180516
16,151.008,0.41578,0.90698,0.97674,0.38964,0.00015141,0.00015141,0.00015141
17,160.603,0.40353,0.90698,0.97674,0.51471,0.000122304,0.000122304,0.000122304
18,170.359,0.35985,0.90698,0.97674,0.27942,9.3198e-05,9.3198e-05,9.3198e-05
19,180.205,0.34949,0.90698,0.97674,0.35085,6.4092e-05,6.4092e-05,6.4092e-05
20,189.681,0.31005,0.9186,0.97674,0.3531,3.4986e-05,3.4986e-05,3.4986e-05
