epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.29833,2.58242,0.17442,0.45349,2.51758,6.468e-05,6.468e-05,6.468e-05
2,17.1328,2.4336,0.4186,0.72093,2.24902,0.000133901,0.000133901,0.000133901
3,25.0108,2.18359,0.51163,0.82558,1.82129,0.000201725,0.000201725,0.000201725
4,33.2506,1.85907,0.68605,0.84884,1.39551,0.000268152,0.000268152,0.000268152
5,41.3036,1.53618,0.76744,0.90698,1.14697,0.000333182,0.000333182,0.000333182
6,49.9799,1.29088,0.80233,0.9186,0.72437,0.000396815,0.000396815,0.000396815
7,58.8227,0.99015,0.84884,0.94186,0.58521,0.00045905,0.00045905,0.00045905
8,67.613,0.82469,0.87209,0.96512,0.51685,0.000519889,0.000519889,0.000519889
9,75.9017,0.68546,0.90698,0.97674,0.36792,0.00054143,0.00054143,0.00054143
10,84.7887,0.55166,0.89535,0.98837,0.33826,0.000535609,0.000535609,0.000535609
11,93.499,0.47989,0.93023,0.98837,0.39197,0.000529788,0.000529788,0.000529788
12,102.161,0.39263,0.9186,0.98837,0.22458,0.000523967,0.000523967,0.000523967
13,110.858,0.37362,0.93023,0.96512,0.23383,0.000518146,0.000518146,0.000518146
14,118.741,0.31412,0.9186,0.96512,0.21436,0.000512324,0.000512324,0.000512324
15,127.617,0.31008,0.93023,0.97674,0.19086,0.000506503,0.000506503,0.000506503
16,135.918,0.25455,0.9186,0.98837,0.16736,0.000500682,0.000500682,0.000500682
17,144.838,0.2143,0.93023,0.98837,0.22095,0.000494861,0.000494861,0.000494861
18,153.708,0.20229,0.93023,0.98837,0.21442,0.00048904,0.00048904,0.00048904
19,162.43,0.26752,0.94186,0.98837,0.18182,0.000483218,0.000483218,0.000483218
20,171.248,0.18622,0.93023,0.97674,0.18158,0.000477397,0.000477397,0.000477397
21,179.043,0.21553,0.94186,0.98837,0.26746,0.000471576,0.000471576,0.000471576
22,187.845,0.18882,0.95349,0.98837,0.24615,0.000465755,0.000465755,0.000465755
23,195.916,0.22669,0.9186,0.98837,0.21167,0.000459934,0.000459934,0.000459934
24,204.725,0.1498,0.9186,0.98837,0.21265,0.000454112,0.000454112,0.000454112
25,213.681,0.1367,0.9186,0.98837,0.16699,0.000448291,0.000448291,0.000448291
26,221.608,0.11312,0.93023,0.98837,0.18842,0.00044247,0.00044247,0.00044247
27,230.204,0.14454,0.9186,0.98837,0.19849,0.000436649,0.000436649,0.000436649
28,238.109,0.11434,0.94186,0.98837,0.14606,0.000430828,0.000430828,0.000430828
29,247.001,0.14563,0.93023,0.98837,0.14441,0.000425006,0.000425006,0.000425006
30,255.839,0.17391,0.9186,0.98837,0.27289,0.000419185,0.000419185,0.000419185
31,264.588,0.12582,0.9186,1,0.13937,0.000413364,0.000413364,0.000413364
32,273.293,0.17116,0.93023,1,0.14462,0.000407543,0.000407543,0.000407543
33,282.056,0.15649,0.9186,1,0.19501,0.000401722,0.000401722,0.000401722
34,291.159,0.13283,0.94186,1,0.10666,0.0003959,0.0003959,0.0003959
35,297.141,0.116,0.96512,1,0.14423,0.000390079,0.000390079,0.000390079
36,303.496,0.12578,0.95349,1,0.10864,0.000384258,0.000384258,0.000384258
37,308.325,0.11639,0.95349,1,0.11713,0.000378437,0.000378437,0.000378437
38,312.958,0.12513,0.95349,1,0.20609,0.000372616,0.000372616,0.000372616
39,317.579,0.1062,0.94186,1,0.15387,0.000366794,0.000366794,0.000366794
40,322.584,0.10028,0.94186,1,0.15097,0.000360973,0.000360973,0.000360973
41,327.713,0.09388,0.93023,1,0.24683,0.000355152,0.000355152,0.000355152
42,332.734,0.10646,0.94186,1,0.14642,0.000349331,0.000349331,0.000349331
43,337.714,0.10062,0.95349,1,0.2468,0.00034351,0.00034351,0.00034351
44,342.279,0.11067,0.94186,1,0.20465,0.000337688,0.000337688,0.000337688
45,346.803,0.1109,0.94186,1,0.1581,0.000331867,0.000331867,0.000331867
46,351.35,0.07783,0.94186,1,0.17261,0.000326046,0.000326046,0.000326046
47,355.851,0.09185,0.94186,1,0.13373,0.000320225,0.000320225,0.000320225
48,360.359,0.08964,0.94186,1,0.13925,0.000314404,0.000314404,0.000314404
49,364.905,0.08113,0.93023,1,0.19385,0.000308582,0.000308582,0.000308582
50,369.465,0.0968,0.93023,1,0.16306,0.000302761,0.000302761,0.000302761
51,373.932,0.08441,0.93023,1,0.23236,0.00029694,0.00029694,0.00029694
52,378.453,0.08793,0.94186,1,0.15106,0.000291119,0.000291119,0.000291119
53,382.961,0.08111,0.95349,1,0.20288,0.000285298,0.000285298,0.000285298
54,387.485,0.0906,0.97674,1,0.08482,0.000279476,0.000279476,0.000279476
55,391.969,0.10474,0.96512,1,0.0864,0.000273655,0.000273655,0.000273655
56,396.463,0.07813,0.96512,1,0.1322,0.000267834,0.000267834,0.000267834
57,400.968,0.05519,0.96512,1,0.14746,0.000262013,0.000262013,0.000262013
58,405.514,0.09405,0.96512,1,0.1185,0.000256192,0.000256192,0.000256192
59,409.984,0.08028,0.96512,1,0.10177,0.00025037,0.00025037,0.00025037
60,414.546,0.08013,0.96512,1,0.18655,0.000244549,0.000244549,0.000244549
61,419.085,0.06952,0.96512,1,0.16254,0.000238728,0.000238728,0.000238728
62,423.631,0.09722,0.96512,1,0.12242,0.000232907,0.000232907,0.000232907
63,428.163,0.07609,0.96512,1,0.09961,0.000227086,0.000227086,0.000227086
64,432.706,0.09172,0.96512,1,0.19574,0.000221264,0.000221264,0.000221264
65,437.203,0.08328,0.96512,1,0.1853,0.000215443,0.000215443,0.000215443
66,441.703,0.06032,0.96512,1,0.21729,0.000209622,0.000209622,0.000209622
67,446.186,0.05795,0.96512,1,0.24307,0.000203801,0.000203801,0.000203801
68,450.687,0.07206,0.96512,1,0.15128,0.00019798,0.00019798,0.00019798
69,455.182,0.06742,0.96512,1,0.21616,0.000192158,0.000192158,0.000192158
70,459.665,0.06018,0.96512,1,0.12431,0.000186337,0.000186337,0.000186337
71,464.226,0.09494,0.96512,1,0.16583,0.000180516,0.000180516,0.000180516
72,468.783,0.04235,0.96512,1,0.13197,0.000174695,0.000174695,0.000174695
73,473.299,0.0542,0.96512,1,0.12936,0.000168874,0.000168874,0.000168874
74,477.871,0.06314,0.96512,1,0.22693,0.000163052,0.000163052,0.000163052
75,482.426,0.06836,0.96512,1,0.22198,0.000157231,0.000157231,0.000157231
76,486.95,0.07096,0.96512,1,0.11446,0.00015141,0.00015141,0.00015141
77,491.549,0.08118,0.96512,1,0.19775,0.000145589,0.000145589,0.000145589
78,496.103,0.04327,0.96512,1,0.11541,0.000139768,0.000139768,0.000139768
79,500.656,0.05985,0.95349,1,0.12788,0.000133946,0.000133946,0.000133946
80,505.146,0.03737,0.95349,1,0.21503,0.000128125,0.000128125,0.000128125
81,509.727,0.04633,0.95349,1,0.16382,0.000122304,0.000122304,0.000122304
82,514.193,0.05326,0.96512,1,0.21024,0.000116483,0.000116483,0.000116483
83,518.733,0.05697,0.95349,1,0.23987,0.000110662,0.000110662,0.000110662
84,523.203,0.05604,0.96512,1,0.18903,0.00010484,0.00010484,0.00010484
85,527.728,0.02966,0.96512,1,0.11331,9.90192e-05,9.90192e-05,9.90192e-05
86,532.259,0.05316,0.96512,1,0.10554,9.3198e-05,9.3198e-05,9.3198e-05
87,536.806,0.04368,0.95349,1,0.16797,8.73768e-05,8.73768e-05,8.73768e-05
88,541.311,0.0334,0.95349,1,0.24974,8.15556e-05,8.15556e-05,8.15556e-05
89,545.86,0.04894,0.95349,1,0.1035,7.57344e-05,7.57344e-05,7.57344e-05
90,550.425,0.08328,0.95349,1,0.11749,6.99132e-05,6.99132e-05,6.99132e-05
91,560.954,0.0949,0.95349,1,0.12231,6.4092e-05,6.4092e-05,6.4092e-05
92,565.465,0.04105,0.95349,1,0.12045,5.82708e-05,5.82708e-05,5.82708e-05
93,569.929,0.06747,0.95349,1,0.19946,5.24496e-05,5.24496e-05,5.24496e-05
94,574.409,0.07464,0.95349,1,0.10957,4.66284e-05,4.66284e-05,4.66284e-05
95,578.938,0.05637,0.95349,1,0.20847,4.08072e-05,4.08072e-05,4.08072e-05
96,583.606,0.03453,0.95349,1,0.19537,3.4986e-05,3.4986e-05,3.4986e-05
97,588.154,0.03762,0.95349,1,0.12936,2.91648e-05,2.91648e-05,2.91648e-05
98,592.709,0.06939,0.95349,1,0.12347,2.33436e-05,2.33436e-05,2.33436e-05
99,597.221,0.0582,0.95349,1,0.18729,1.75224e-05,1.75224e-05,1.75224e-05
100,601.777,0.10159,0.95349,1,0.133,1.17012e-05,1.17012e-05,1.17012e-05
