epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.5368,2.58242,0.17442,0.45349,2.51758,6.468e-05,6.468e-05,6.468e-05
2,13.2315,2.43749,0.4186,0.72093,2.25977,0.000128546,0.000128546,0.000128546
3,16.1057,2.19833,0.51163,0.81395,1.85498,0.000185426,0.000185426,0.000185426
4,18.9493,1.90106,0.66279,0.83721,1.46973,0.000235321,0.000235321,0.000235321
5,21.838,1.61161,0.74419,0.88372,1.25293,0.00027823,0.00027823,0.00027823
6,24.5413,1.39797,0.80233,0.9186,0.83081,0.000314154,0.000314154,0.000314154
7,27.1634,1.11324,0.81395,0.93023,0.70264,0.000343092,0.000343092,0.000343092
8,29.815,0.95722,0.86047,0.94186,0.59399,0.000365045,0.000365045,0.000365045
9,32.3413,0.82278,0.88372,0.96512,0.42297,0.000355152,0.000355152,0.000355152
10,35.156,0.68653,0.88372,0.96512,0.39575,0.000326046,0.000326046,0.000326046
11,44.0214,0.60439,0.88372,0.97674,0.43811,0.00029694,0.00029694,0.00029694
12,46.3924,0.54311,0.88372,0.97674,0.29327,0.000267834,0.000267834,0.000267834
13,48.8349,0.4631,0.89535,0.97674,0.28571,0.000238728,0.000238728,0.000238728
14,51.162,0.4497,0.89535,1,0.28302,0.000209622,0.000209622,0.000209622
15,53.9627,0.40639,0.9186,0.97674,0.29089,0.000180516,0.000180516,0.000180516
16,56.2442,0.38469,0.9186,1,0.26416,0.00015141,0.00015141,0.00015141
17,58.4944,0.36584,0.93023,1,0.28992,0.000122304,0.000122304,0.000122304
18,60.7867,0.36234,0.93023,1,0.23297,9.3198e-05,9.3198e-05,9.3198e-05
19,63.1757,0.40541,0.93023,1,0.23016,6.4092e-05,6.4092e-05,6.4092e-05
20,65.5666,0.39002,0.94186,0.98837,0.22784,3.4986e-05,3.4986e-05,3.4986e-05
