model,acc,f1_macro,f1_weighted,n
ResNet18 finetuned,0.9145299145299145,0.8490392563619108,0.9079226938367543,117
YOLOv8n-cls finetuned (best.pt),0.9145299145299145,0.8457514517011084,0.9116419247616807,117
YOLOv8n-cls baseline (random head),0.08547008547008547,0.03185922338708247,0.03738681350303935,117
ResNet18 random,0.042735042735042736,0.016661828737300436,0.015610385421706176,117
ResNet18 pretrained (no finetune),0.08547008547008547,0.013037809647979138,0.014486455164421265,117
