epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.62822,2.55141,0.23077,0.64103,2.36357,8.82e-05,8.82e-05,8.82e-05
2,19.1003,2.22302,0.38462,0.86325,1.8703,0.000173257,0.000173257,0.000173257
3,28.2314,1.90173,0.61538,0.90598,1.40289,0.000249,0.000249,0.000249
4,37.2543,1.54008,0.81197,0.93162,1.01496,0.00031543,0.00031543,0.00031543
5,46.2245,1.27284,0.8547,0.96581,0.6871,0.000372545,0.000372545,0.000372545
6,56.0167,0.98044,0.88889,0.97436,0.53836,0.000420346,0.000420346,0.000420346
7,65.4868,0.78744,0.89744,0.98291,0.44488,0.000413364,0.000413364,0.000413364
8,75.2039,0.6055,0.90598,0.98291,0.40944,0.000384258,0.000384258,0.000384258
9,85.0779,0.52722,0.92308,0.98291,0.35894,0.000355152,0.000355152,0.000355152
10,94.1709,0.49241,0.93162,0.99145,0.29323,0.000326046,0.000326046,0.000326046
11,103.838,0.4107,0.96581,0.99145,0.24789,0.00029694,0.00029694,0.00029694
12,113.367,0.39567,0.95726,0.99145,0.24014,0.000267834,0.000267834,0.000267834
13,123.084,0.40854,0.95726,0.99145,0.23301,0.000238728,0.000238728,0.000238728
14,132.354,0.33839,0.95726,0.99145,0.23796,0.000209622,0.000209622,0.000209622
15,141.783,0.31851,0.96581,0.99145,0.20049,0.000180516,0.000180516,0.000180516
16,151.172,0.35164,0.96581,0.99145,0.22625,0.00015141,0.00015141,0.00015141
17,160.307,0.29683,0.95726,0.99145,0.21709,0.000122304,0.000122304,0.000122304
18,170.001,0.31886,0.96581,0.99145,0.19776,9.3198e-05,9.3198e-05,9.3198e-05
19,179.382,0.26466,0.96581,0.99145,0.19763,6.4092e-05,6.4092e-05,6.4092e-05
20,188.596,0.3264,0.96581,0.99145,0.2027,3.4986e-05,3.4986e-05,3.4986e-05
