epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.96342,2.63135,0.14062,0.4375,2.49121,9.408e-05,9.408e-05,9.408e-05
2,10.7743,2.40301,0.38281,0.76562,2.12158,0.000192119,0.000192119,0.000192119
3,13.7123,2.0639,0.57031,0.85938,1.64355,0.000288179,0.000288179,0.000288179
4,16.6207,1.73063,0.64062,0.92188,1.25439,0.000382259,0.000382259,0.000382259
5,19.5636,1.36023,0.71875,0.97656,0.96533,0.000474361,0.000474361,0.000474361
6,22.4737,1.10111,0.79688,0.96094,0.72388,0.000558894,0.000558894,0.000558894
7,25.3769,0.81543,0.82812,0.97656,0.57593,0.000553073,0.000553073,0.000553073
8,28.2285,0.73608,0.83594,0.98438,0.50183,0.000547252,0.000547252,0.000547252
9,31.0309,0.60848,0.82031,0.97656,0.52148,0.00054143,0.00054143,0.00054143
10,33.9564,0.58605,0.875,0.98438,0.42651,0.000535609,0.000535609,0.000535609
11,36.822,0.47477,0.88281,0.97656,0.42871,0.000529788,0.000529788,0.000529788
12,39.7064,0.45278,0.88281,0.97656,0.42139,0.000523967,0.000523967,0.000523967
13,42.651,0.42063,0.88281,0.96875,0.38428,0.000518146,0.000518146,0.000518146
14,45.6851,0.34454,0.89062,0.97656,0.42334,0.000512324,0.000512324,0.000512324
15,48.5136,0.35803,0.89062,0.98438,0.43396,0.000506503,0.000506503,0.000506503
16,51.5267,0.33208,0.89062,0.97656,0.44861,0.000500682,0.000500682,0.000500682
17,54.3123,0.28969,0.89062,0.97656,0.44153,0.000494861,0.000494861,0.000494861
18,57.0968,0.25307,0.875,0.97656,0.43445,0.00048904,0.00048904,0.00048904
19,59.9314,0.27041,0.88281,0.97656,0.51282,0.000483218,0.000483218,0.000483218
20,62.8624,0.25458,0.85938,0.97656,0.54468,0.000477397,0.000477397,0.000477397
21,66.0953,0.24574,0.89062,0.96875,0.48804,0.000471576,0.000471576,0.000471576
22,69.7427,0.21681,0.89844,0.96875,0.44714,0.000465755,0.000465755,0.000465755
23,72.6632,0.23203,0.89062,0.96875,0.45947,0.000459934,0.000459934,0.000459934
24,75.6837,0.2109,0.89844,0.96875,0.49902,0.000454112,0.000454112,0.000454112
25,79.0617,0.20226,0.90625,0.96875,0.44849,0.000448291,0.000448291,0.000448291
26,82.4441,0.24191,0.88281,0.96875,0.47839,0.00044247,0.00044247,0.00044247
